TP_ABRANGENCIA;SG_UF;NM_UE;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;CD_NACIONALIDADE;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;CD_GENERO;DS_GENERO;CD_GRAU_INSTRUCAO;DS_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_COR_RACA;DS_COR_RACA;CD_OCUPACAO;DS_OCUPACAO;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO;ST_REELEICAO;VR_DESPESA_CONTRATADA;QT_VOTOS_NOMINAIS;ELEITO
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000625620;LUCIA ALVES DE SOUZA;LUCINHA DA SAÚDE;12;APTO;2;DEFERIDO;COLIGAÇÃO;25;DEM;DEMOCRATAS;TODOS PELO DF;1;BRASILEIRA NATA;56;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);2;PRETA;113;ENFERMEIRO;4;NÃO ELEITO;N;10000.0;186;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000614430;THAYNARA MELO RODRIGUES;THAYNARA;12;APTO;2;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;Brasília de Mãos Limpas;1;BRASILEIRA NATA;26;4;FEMININO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;260;BIBLIOTECÁRIO;5;SUPLENTE;N;19376.730000000003;5449;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000607601;ANGELINA APARECIDA DOURADO SANTOS;CIDINHA SANTOS;12;APTO;2;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SUSTENTABILIDADE E TRABALHO;1;BRASILEIRA NATA;52;4;FEMININO;6;ENSINO MÉDIO;1;SOLTEIRO(A);2;PRETA;224;OPERADOR DE COMPUTADOR;5;SUPLENTE;N;;183;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000616378;GERALDO BATISTA ALVES DE SOUSA;ST GERALDO ALVES;12;APTO;2;DEFERIDO;COLIGAÇÃO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;mobilizar pra mudar;1;BRASILEIRA NATA;46;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;233;POLICIAL MILITAR;5;SUPLENTE;N;15000.0;4732;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000614554;ANTÔNIO CARLOS DA SILVA;ANTÔNIO CARLOS;12;APTO;2;DEFERIDO;COLIGAÇÃO;19;PODE;PODEMOS;UNIDOS PELO DF 2;1;BRASILEIRA NATA;51;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;230;PEDAGOGO;5;SUPLENTE;N;2785.64;429;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000602377;PEDRO PAULO ARAUJO MOREIRA;PEDRO PAULO DO NOVO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;PARTIDO ISOLADO;1;BRASILEIRA NATA;53;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;131;ADVOGADO;5;SUPLENTE;N;253.0;560;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000612410;FERNANDO MOURA DOS SANTOS;FERNANDO MOURA;12;APTO;2;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;Brasília Justa e de mãos limpas;1;BRASILEIRA NATA;48;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);1;BRANCA;142;PROFESSOR DE ENSINO SUPERIOR;5;SUPLENTE;N;;5350;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000621315;VENERANDA VIEIRA MENDES;VENÊ;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;1;BRASILEIRA NATA;58;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;999;OUTROS;4;NÃO ELEITO;N;11774.0;106;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000614468;FERNANDO ANTONIO MIRANDA DE VASCONCELOS;FERNANDO VASCONCELOS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;PARTIDO ISOLADO;1;BRASILEIRA NATA;72;2;MASCULINO;8;SUPERIOR COMPLETO;9;SEPARADO;1;BRANCA;172;PUBLICITÁRIO;5;SUPLENTE;N;20830.300000000003;259;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000625528;FLAVIA CAROLINA PERES;FLAVIA ARRUDA;12;APTO;2;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;UNIÃO E FORÇA;1;BRASILEIRA NATA;39;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;257;EMPRESÁRIO;2;ELEITO POR QP;N;2258998.6899999995;121340;sim
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000625599;FLAVIO JOSÉ BARBOSA DE ALENCASTRO;FLAVIO ALENCASTRO;12;APTO;2;DEFERIDO;COLIGAÇÃO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;TODOS PELO DF;1;BRASILEIRA NATA;56;2;MASCULINO;8;SUPERIOR COMPLETO;9;SEPARADO;1;BRANCA;296;SERVIDOR PÚBLICO FEDERAL;4;NÃO ELEITO;N;122057.04999999999;2404;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000610804;HELLEN CRISTHYAN CORREIA BOAVENTURA;HELLEN FRIDA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;1;BRASILEIRA NATA;27;4;FEMININO;7;ENSINO MÉDIO;1;SOLTEIRO(A);3;PARDA;999;OUTROS;5;SUPLENTE;N;54420.06;5791;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000610806;MICHEL PLATINI GOMES FERNANDES;MICHEL PLATINI;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;1;BRASILEIRA NATA;35;2;MASCULINO;7;ENSINO MÉDIO;1;SOLTEIRO(A);1;BRANCA;999;OUTROS;5;SUPLENTE;N;38994.15;2486;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000605618;LEUCIMONIA TRINDADE DA ROCHA RODRIGUES;SIMONE ROCHA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;1;BRASILEIRA NATA;44;4;FEMININO;4;ENSINO FUNDAMENTAL;3;CASADO(A);3;PARDA;999;OUTROS;5;SUPLENTE;N;22988.850000000002;493;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000625530;JUSTINO CARVALHO DA SILVA;JUSTINO CARVALHO;12;APTO;2;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;UNIÃO E FORÇA;1;BRASILEIRA NATA;78;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;296;SERVIDOR PÚBLICO FEDERAL;5;SUPLENTE;N;112426.92000000001;356;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000602345;ASSIS MARINHO CARVALHO;ASSIS MARINHO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;30;NOVO;PARTIDO NOVO;PARTIDO ISOLADO;1;BRASILEIRA NATA;53;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;296;SERVIDOR PÚBLICO FEDERAL;4;NÃO ELEITO;N;8835.58;5993;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000607610;JOÃO BATISTA ARRAIS;JOÃO ARRAIS;12;APTO;2;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SUSTENTABILIDADE E TRABALHO;1;BRASILEIRA NATA;72;2;MASCULINO;6;ENSINO MÉDIO;1;SOLTEIRO(A);1;BRANCA;923;APOSENTADO (EXCETO SERVIDOR PÚBLICO);5;SUPLENTE;N;;212;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000601724;SANDRO BERGAMIM;SANDRO BERGAMIM;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;11;PP;PROGRESSISTAS;PARTIDO ISOLADO;1;BRASILEIRA NATA;49;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;999;OUTROS;5;SUPLENTE;N;90950.00000000001;2242;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000620289;VALDINEIA CASTRO MIRANDA DE AMORIM;NEIA AMORIM;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PARTIDO ISOLADO;1;BRASILEIRA NATA;50;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;125;ADMINISTRADOR;5;SUPLENTE;N;81966.8;723;nao
